machine_id,ville,type_machine,risque,temperature_C,vibration,pression_bar,age_ans,production_jour,panne
M0062,Porto-Novo,Compresseur,Faible,81.5,2.79,7.03,3,43411.0,0
M0063,Abomey-Calavi,Moteur,Moyen,63.2,4.08,6.18,13,28807.0,0
M0064,Abomey-Calavi,Pompe,Faible,63.7,5.05,6.48,6,31485.0,0
M0065,Cotonou,Moteur,Élevé,77.1,3.54,7.34,13,24818.0,0
M0066,Abomey-Calavi,Pompe,Moyen,83.9,3.2,7.04,4,29074.0,0
M0067,Cotonou,Pompe,Moyen,68.8,4.07,7.21,17,19603.0,0
M0068,Abomey-Calavi,Compresseur,Faible,56.3,4.22,7.46,8,23808.0,0
M0069,Parakou,Compresseur,Moyen,80.9,2.42,5.54,11,28552.0,0
M0070,Cotonou,Pompe,Moyen,76.1,7.22,7.24,14,16133.0,0
M0071,Cotonou,Moteur,Faible,66.7,3.05,7.29,1,20567.0,0
M0072,Abomey-Calavi,Pompe,Moyen,83.2,1.99,6.97,6,34671.0,0
M0073,Cotonou,Pompe,Faible,82.8,3.53,7.05,5,31702.0,0
M0074,Cotonou,Moteur,Moyen,67.7,4.09,6.24,14,25570.0,0
M0075,Abomey-Calavi,Pompe,Moyen,69.4,3.51,7.23,12,32135.0,0
M0076,Parakou,Pompe,Faible,77.5,2.81,7.18,11,26508.0,0
M0077,Porto-Novo,Moteur,Faible,77.5,3.51,7.02,8,34775.0,0
M0078,Porto-Novo,Compresseur,Moyen,82.9,4.23,7.32,3,22361.0,0
M0079,Porto-Novo,Moteur,Moyen,76.2,2.77,7.73,2,16355.0,0
M0080,Porto-Novo,Compresseur,Moyen,,2.48,7.02,17,21797.0,0
M0081,Cotonou,Pompe,Faible,69.4,3.76,6.68,3,37152.0,0
M0082,Cotonou,Pompe,Faible,65.3,3.75,6.96,6,16517.0,0
M0083,Cotonou,Moteur,Moyen,67.4,2.15,7.65,7,23900.0,0
M0084,Porto-Novo,Pompe,Faible,,6.55,7.36,4,26282.0,0
M0085,Cotonou,Compresseur,Moyen,71.1,4.79,6.88,2,18540.0,0
M0086,Parakou,Pompe,Faible,65.7,5.66,6.91,6,27490.0,0
M0087,Abomey-Calavi,Compresseur,Moyen,78.2,4.92,7.12,5,21870.0,0
M0088,Parakou,Pompe,Moyen,81.2,1.81,6.27,2,28297.0,0
M0089,Porto-Novo,Moteur,Faible,84.6,6.16,6.42,3,22911.0,0
M0090,Cotonou,Pompe,Moyen,68.1,1.6,7.17,12,31493.0,0
M0091,Cotonou,Compresseur,Moyen,62.1,2.43,7.11,4,20663.0,0
M0092,Cotonou,Moteur,Moyen,68.9,3.96,6.65,16,11614.0,0
M0093,Parakou,Pompe,Faible,72.2,,6.83,7,39368.0,0
M0094,Cotonou,Moteur,Faible,68.1,4.5,6.73,15,34661.0,0
M0095,Cotonou,Pompe,Moyen,75.4,4.75,7.6,1,24032.0,0
M0096,Cotonou,Moteur,Moyen,75.5,3.52,6.75,3,24226.0,0
M0097,Parakou,Compresseur,Faible,74.3,5.77,6.95,2,19589.0,0
M0098,Porto-Novo,Moteur,Faible,39.0,1.76,6.74,8,37342.0,0
M0099,Cotonou,Moteur,Moyen,78.0,4.3,6.26,17,18119.0,0
M0100,Cotonou,Pompe,Faible,64.9,4.59,5.65,7,30818.0,0
M0101,Cotonou,Pompe,Élevé,52.7,6.06,6.46,15,29084.0,0
M0102,Cotonou,Compresseur,Faible,145.0,4.77,8.27,1,20398.0,0
M0103,Cotonou,Pompe,Moyen,80.0,1.69,6.53,6,35644.0,0
M0104,Cotonou,Pompe,Moyen,70.6,4.41,7.16,13,16678.0,0
M0105,Abomey-Calavi,Moteur,Faible,58.2,3.23,,6,28576.0,0
M0106,Parakou,Pompe,Moyen,67.7,3.87,7.64,2,24234.0,0
M0107,Cotonou,Compresseur,Moyen,79.2,4.32,6.51,12,26943.0,0
M0108,Porto-Novo,Moteur,Faible,71.5,5.18,6.09,4,12101.0,0
M0109,Cotonou,Compresseur,Moyen,69.2,3.14,5.66,9,22826.0,0
M0110,Cotonou,Pompe,Faible,60.7,4.3,7.6,17,28577.0,0
M0111,Cotonou,Compresseur,Faible,69.5,5.02,7.26,13,15057.0,0
M0112,Porto-Novo,Compresseur,Élevé,64.8,4.77,5.59,9,26774.0,0
M0113,Cotonou,Compresseur,Moyen,81.4,4.8,6.98,14,31882.0,0
M0114,Abomey-Calavi,Compresseur,Moyen,72.3,1.8,6.4,16,30782.0,0
M0115,Porto-Novo,Compresseur,Faible,76.2,4.25,6.82,16,16136.0,0
M0116,Cotonou,Pompe,Élevé,57.6,5.04,6.46,10,31743.0,0
M0117,Parakou,Compresseur,Moyen,69.8,,7.01,3,16553.0,0
M0118,Abomey-Calavi,Moteur,Faible,76.2,4.24,7.77,12,29325.0,0
M0119,Cotonou,Pompe,Moyen,83.0,3.23,7.02,16,11418.0,0
M0120,Parakou,Pompe,Moyen,79.9,4.54,7.09,15,19843.0,0
M0121,Abomey-Calavi,Moteur,Moyen,63.9,4.08,7.04,17,12810.0,0
M0122,Porto-Novo,Moteur,Moyen,,2.61,6.75,7,35414.0,0
M0123,Cotonou,Pompe,Moyen,68.8,4.36,,6,28902.0,0
M0124,Parakou,Pompe,Faible,67.8,4.26,7.41,16,14996.0,0
M0125,Cotonou,Compresseur,Faible,67.7,2.06,7.71,9,16369.0,0
M0126,Cotonou,Moteur,Faible,61.6,3.37,7.27,16,28788.0,0
M0127,Parakou,Pompe,Moyen,67.5,3.25,6.91,7,25977.0,0
M0128,Cotonou,Compresseur,Élevé,64.9,2.1,7.26,14,21344.0,0
M0129,Cotonou,Moteur,Faible,66.5,4.95,7.37,13,23583.0,0
M0130,Abomey-Calavi,Compresseur,Faible,64.7,2.76,6.98,10,25862.0,0
M0131,Cotonou,Moteur,Faible,68.0,3.74,6.47,15,20600.0,0
M0132,Cotonou,Pompe,Moyen,75.3,1.02,7.29,16,11314.0,0
M0133,Cotonou,Pompe,Faible,64.6,3.41,6.18,8,16972.0,0
M0134,Porto-Novo,Moteur,Élevé,61.0,1.95,7.21,4,26433.0,0
M0135,Cotonou,Pompe,Moyen,74.3,4.05,6.4,7,27667.0,0
M0136,Porto-Novo,Moteur,Faible,69.7,3.24,6.36,6,30028.0,0
M0137,Abomey-Calavi,Pompe,Faible,75.2,4.75,6.78,4,29479.0,0
M0138,Cotonou,Compresseur,Faible,63.0,5.64,6.42,6,23322.0,0
M0139,Parakou,Moteur,Faible,69.1,1.39,6.86,13,22309.0,0
M0140,Porto-Novo,Pompe,Moyen,63.7,3.68,7.02,4,33707.0,0
M0141,Parakou,Moteur,Faible,59.8,,6.76,13,16183.0,0
M0142,Cotonou,Compresseur,Moyen,66.1,2.86,7.06,6,19400.0,0
M0143,Cotonou,Moteur,Faible,68.9,2.55,7.55,4,33325.0,0
M0144,Cotonou,Pompe,Élevé,72.2,3.44,6.9,8,29264.0,0
M0145,Porto-Novo,Pompe,Faible,60.8,4.26,6.7,2,18082.0,0
M0146,Cotonou,Pompe,Moyen,75.6,4.36,7.09,3,11710.0,0
M0147,Cotonou,Pompe,Moyen,78.0,4.93,7.08,7,13649.0,0
M0148,Abomey-Calavi,Compresseur,Faible,72.3,3.57,6.11,6,26963.0,0
M0149,Porto-Novo,Pompe,Faible,66.6,4.89,6.79,8,19606.0,0
M0150,Cotonou,Moteur,Faible,63.4,4.48,6.29,14,27478.0,0
M0151,Porto-Novo,Pompe,Faible,77.4,4.94,7.6,12,48344.254209698534,0
M0152,Abomey-Calavi,Moteur,Faible,63.6,4.88,6.3,10,28874.0,0
M0153,Cotonou,Moteur,Faible,79.8,4.47,6.55,17,18929.0,0
M0154,Cotonou,Compresseur,Faible,55.9,4.83,6.91,2,24936.0,0
M0155,Cotonou,,Faible,55.1,2.86,5.58,16,37042.0,0
M0156,Porto-Novo,Pompe,Faible,73.2,1.17,5.82,15,26873.0,0
M0157,Cotonou,Pompe,Faible,60.2,2.14,6.51,13,29934.0,0
M0158,Cotonou,Pompe,Faible,77.5,4.25,6.69,15,16223.0,0
M0159,Abomey-Calavi,Pompe,Moyen,66.6,3.7,6.04,6,18066.0,0
M0160,Abomey-Calavi,Pompe,Moyen,66.0,3.04,6.81,12,14020.0,0
M0161,Cotonou,Compresseur,Moyen,72.3,5.31,7.06,15,30721.0,0
M0162,Cotonou,Moteur,Faible,78.3,4.6,7.07,10,17680.0,0
M0163,Abomey-Calavi,Pompe,Moyen,76.4,5.71,7.64,14,26197.0,0
M0164,Abomey-Calavi,Compresseur,Élevé,68.7,2.31,7.17,4,35103.0,0
M0165,Cotonou,Moteur,Faible,67.6,3.09,6.68,16,16360.0,0
M0166,Parakou,Moteur,Moyen,76.4,4.22,7.53,7,23657.0,0
M0167,Parakou,Compresseur,Moyen,64.3,,7.43,17,13652.0,0
M0168,Cotonou,,Faible,63.0,5.49,6.67,14,27283.0,0
M0169,Cotonou,Pompe,Moyen,63.4,4.16,6.45,7,22721.0,0
M0170,Parakou,Moteur,Moyen,95.3,5.62,7.14,9,30132.0,0
M0171,Parakou,Pompe,Faible,81.9,5.3,7.12,15,26337.0,0
M0172,Porto-Novo,Moteur,Moyen,74.6,3.96,7.7,15,31299.0,0
M0173,Parakou,Pompe,Faible,68.3,,7.04,12,13434.0,0
M0174,Abomey-Calavi,Compresseur,Faible,75.1,4.26,7.49,2,16247.0,0
M0175,Cotonou,,Faible,58.7,4.34,7.59,14,29225.0,0
M0176,Cotonou,Pompe,Élevé,69.2,2.42,7.1,13,26404.0,0
M0177,Parakou,Moteur,Faible,78.2,,7.37,15,21941.0,0
M0178,Cotonou,Compresseur,Faible,72.8,2.82,6.2,11,18399.0,0
M0179,Abomey-Calavi,Pompe,Moyen,62.5,4.08,6.44,14,20154.0,0
M0180,Parakou,Pompe,Moyen,70.9,2.28,6.96,10,16363.0,0
M0181,Porto-Novo,Moteur,Élevé,69.9,1.44,6.77,13,26374.0,0
M0182,Parakou,Pompe,Faible,82.0,3.46,6.86,13,17003.0,0
M0183,Abomey-Calavi,Moteur,Faible,77.9,6.86,7.03,4,23161.0,0
M0184,Parakou,Compresseur,Faible,72.9,3.77,6.24,13,13811.0,0
M0185,Cotonou,Pompe,Moyen,,2.39,7.59,15,32325.0,0
M0186,Porto-Novo,Compresseur,Faible,68.1,3.17,7.17,16,24298.0,0
M0187,Cotonou,Moteur,Moyen,80.9,4.3,7.36,9,21065.0,0
M0188,Parakou,Pompe,Moyen,75.7,4.97,5.9,2,19337.0,0
M0189,Cotonou,Pompe,Faible,71.4,4.14,6.36,6,13685.0,0
M0190,Cotonou,Pompe,Moyen,68.4,5.85,5.98,3,25544.0,0
M0191,Cotonou,Pompe,Élevé,76.2,4.67,6.3,4,28277.0,0
M0192,Cotonou,Compresseur,Moyen,,2.44,,10,33941.0,0
M0193,Abomey-Calavi,Pompe,Élevé,59.9,5.1,7.05,12,22963.0,0
M0194,Cotonou,Moteur,Élevé,73.1,2.91,7.43,6,14691.0,0
M0195,Cotonou,Pompe,Faible,79.4,5.14,6.46,10,17602.0,0
M0196,Cotonou,Compresseur,Faible,66.3,3.93,7.38,7,24856.0,0
M0197,Abomey-Calavi,Pompe,Moyen,66.8,1.14,6.43,15,18023.0,0
M0198,Cotonou,Pompe,Faible,,1.24,7.17,12,12714.0,0
M0199,Abomey-Calavi,Moteur,Faible,70.6,3.42,7.43,7,32292.0,0
M0200,Parakou,Compresseur,Moyen,69.5,,6.3,6,18691.0,0
M0201,Cotonou,,Moyen,75.7,5.07,6.68,6,20534.0,0
M0202,Parakou,Pompe,Moyen,74.7,4.4,7.16,17,36809.0,0
M0203,Parakou,Compresseur,Moyen,76.9,5.53,7.21,4,16516.0,0
M0204,Parakou,Pompe,Faible,77.0,12.801385113015671,6.23,10,27208.0,0
M0205,Cotonou,Pompe,Faible,,3.76,6.0,12,29155.0,0
M0206,Abomey-Calavi,,Faible,75.6,10.283438944695304,,13,23653.0,0
M0207,Parakou,Moteur,Élevé,79.6,,7.15,13,20899.0,0
M0208,Cotonou,Pompe,Élevé,66.7,5.0,7.23,4,84841.8991196706,0
M0209,Cotonou,Compresseur,Moyen,74.5,4.91,7.0,4,24522.0,0
M0210,Parakou,,Élevé,68.7,2.69,7.28,12,18193.0,0
M0211,Abomey-Calavi,Moteur,Élevé,,5.01,7.28,7,31861.0,0
M0212,Parakou,Pompe,Faible,75.1,1.3,7.01,14,35462.0,0
M0213,Abomey-Calavi,Moteur,Faible,82.0,4.33,7.61,12,8291.0,0
M0214,Cotonou,Compresseur,Moyen,71.1,3.65,5.79,16,28280.0,0
M0215,Abomey-Calavi,Moteur,Moyen,65.7,3.62,6.1,13,23194.0,0
M0216,Cotonou,Compresseur,Faible,78.7,-0.07,6.21,4,24470.0,0
M0217,Cotonou,Moteur,Faible,71.6,6.1,7.0,8,26175.0,0
M0218,Parakou,Compresseur,Moyen,61.5,2.19,5.73,14,22851.0,0
M0219,Porto-Novo,Pompe,Moyen,70.4,2.54,7.82,7,25665.0,0
M0220,Porto-Novo,Moteur,Faible,66.8,3.01,7.7,4,17528.0,0
M0221,Cotonou,Moteur,Faible,83.4,2.75,7.73,8,29292.0,0
M0222,Abomey-Calavi,Pompe,Moyen,72.1,1.15,5.88,14,30563.0,0
M0223,Porto-Novo,Compresseur,Élevé,78.0,4.38,7.15,12,27455.0,0
M0224,Cotonou,Moteur,Moyen,76.7,3.25,6.92,2,31852.0,0
M0225,Porto-Novo,Compresseur,Élevé,82.1,3.76,7.61,2,20137.0,0
M0226,Parakou,Moteur,Faible,76.4,1.55,6.76,3,29336.0,0
M0227,Porto-Novo,Moteur,Moyen,76.8,3.97,6.98,11,31998.0,0
M0228,Porto-Novo,Moteur,Faible,76.0,3.57,6.09,8,20239.0,0
M0229,Cotonou,Compresseur,Faible,62.6,5.34,7.38,8,25361.0,0
M0230,Abomey-Calavi,Moteur,Moyen,72.8,2.68,7.75,6,21173.0,0
M0231,Porto-Novo,Moteur,Élevé,63.4,1.02,6.93,13,20384.0,0
M0232,Cotonou,Moteur,Moyen,63.5,3.64,5.67,4,36284.0,0
M0233,Cotonou,Compresseur,Moyen,72.9,4.03,6.5,17,24538.0,0
M0234,Abomey-Calavi,Compresseur,Moyen,58.7,5.02,6.19,10,20174.0,0
M0235,Parakou,Moteur,Élevé,70.2,,,12,24001.0,0
M0236,Porto-Novo,Moteur,Moyen,79.3,2.51,6.7,10,25770.0,0
M0237,Cotonou,Compresseur,Faible,71.1,3.68,7.23,17,43800.0,0
M0238,Parakou,Compresseur,Moyen,77.1,2.18,7.15,12,32675.0,0
M0239,Abomey-Calavi,Pompe,Faible,63.2,4.29,7.11,14,21323.0,0
M0240,Cotonou,Compresseur,Moyen,70.8,7.03,7.51,15,26454.0,0
M0241,Cotonou,Compresseur,Faible,51.0,2.24,6.29,6,25613.0,0
M0242,Parakou,Compresseur,Moyen,62.3,,7.54,11,22095.0,0
M0243,Parakou,Compresseur,Élevé,65.5,1.76,6.69,17,23636.0,0
M0244,Parakou,Moteur,Élevé,,12.881614488633074,6.38,2,22958.0,0
M0245,Cotonou,Moteur,Moyen,,4.06,7.41,16,27392.0,0
M0246,Abomey-Calavi,Pompe,Moyen,55.8,3.13,7.23,8,32236.0,0
M0247,Porto-Novo,,Faible,67.5,1.11,7.52,7,17451.0,0
M0248,Parakou,Pompe,Moyen,64.9,3.71,7.64,2,20177.0,0
M0249,Cotonou,Pompe,Élevé,82.9,16.166029787488917,6.77,11,21503.0,0
M0250,Cotonou,Pompe,Moyen,77.3,5.17,7.42,13,29852.0,0
M0251,Cotonou,Pompe,Faible,68.1,4.04,6.24,9,17658.0,0
M0252,Cotonou,Compresseur,Faible,77.0,1.32,7.0,5,19043.0,0
M0253,Abomey-Calavi,Pompe,Moyen,80.0,4.53,6.76,8,28819.0,0
M0254,Porto-Novo,Compresseur,Moyen,65.8,2.87,6.42,1,17589.0,0
M0255,Parakou,Pompe,Faible,78.5,,6.05,7,11687.0,0
M0256,Parakou,Pompe,Élevé,75.3,3.18,7.14,4,30256.0,0
M0257,Parakou,Compresseur,Faible,76.9,3.46,5.96,8,20973.0,0
M0258,Porto-Novo,Moteur,Moyen,58.1,3.69,6.61,1,27765.0,0
M0259,Cotonou,Pompe,Élevé,70.5,2.23,7.83,7,18812.0,0
M0260,Porto-Novo,Pompe,Élevé,52.9,2.7,7.82,1,13994.0,0
M0261,Cotonou,Moteur,Élevé,73.6,3.31,7.2,10,13636.0,0
M0262,Cotonou,Moteur,Moyen,65.1,3.73,6.73,12,38540.0,0
M0263,Abomey-Calavi,Moteur,Moyen,81.5,3.87,7.83,5,38237.0,0
M0264,Porto-Novo,Pompe,Moyen,82.3,1.68,6.84,16,34024.0,0
M0265,Porto-Novo,Compresseur,Faible,58.2,4.61,7.05,12,36967.0,0
M0266,Porto-Novo,Compresseur,Faible,,1.58,7.29,14,22479.0,0
M0267,Porto-Novo,Moteur,Élevé,67.9,3.76,6.33,12,25964.0,0
M0268,Cotonou,Pompe,Moyen,79.0,3.28,5.98,15,9913.0,0
M0269,Porto-Novo,Compresseur,Élevé,72.6,-0.23,5.81,15,22705.0,0
M0270,Porto-Novo,Moteur,Faible,68.8,2.27,6.07,4,29012.0,0
M0271,Parakou,Pompe,Faible,69.6,,6.21,13,23132.0,0
M0272,Cotonou,Moteur,Faible,67.8,3.67,6.64,16,39580.0,0
M0273,Cotonou,Compresseur,Faible,116.0,3.05,7.27,1,17691.0,0
M0274,Parakou,Compresseur,Élevé,72.2,,6.7,5,25656.0,0
M0275,Parakou,Moteur,Faible,63.8,,6.46,16,19405.0,0
M0276,Cotonou,Compresseur,Faible,76.7,2.95,7.22,14,21150.0,0
M0277,Abomey-Calavi,Compresseur,Moyen,67.8,4.43,6.29,1,19026.0,0
M0278,Parakou,Moteur,Moyen,75.6,8.2,7.51,14,23402.0,0
M0279,Cotonou,Moteur,Faible,65.6,2.82,,9,11893.0,0
M0280,Abomey-Calavi,Pompe,Moyen,74.3,2.99,7.67,17,28979.0,0
M0281,Parakou,Compresseur,Faible,64.4,4.03,7.15,10,22117.0,0
M0282,Cotonou,Moteur,Faible,65.4,2.42,7.01,1,17326.0,0
M0283,Cotonou,Compresseur,Élevé,74.1,4.5,,4,53969.581963599965,0
M0284,Abomey-Calavi,Pompe,Élevé,78.4,3.36,7.19,15,24133.0,0
M0285,Abomey-Calavi,Compresseur,Faible,72.9,5.77,,3,20155.0,0
M0286,Cotonou,Pompe,Faible,71.1,2.06,7.08,10,22799.0,0
M0287,Cotonou,Moteur,Faible,92.0,3.57,7.44,6,19576.0,0
M0288,Abomey-Calavi,Moteur,Moyen,70.9,2.22,,11,30179.0,0
M0289,Parakou,Pompe,Faible,51.8,3.94,7.64,3,31684.0,0
M0290,Porto-Novo,Pompe,Faible,76.3,2.55,6.68,1,18445.0,0
M0291,Cotonou,Compresseur,Faible,,1.83,8.13,6,34305.0,0
M0292,Parakou,Pompe,Faible,60.1,,6.5,6,27846.0,0
M0293,Porto-Novo,Pompe,Faible,79.8,2.56,6.94,7,23890.0,0
M0294,Parakou,Pompe,Faible,78.3,3.56,,6,28606.0,0
M0295,Parakou,Pompe,Faible,68.8,2.2,7.55,6,20282.0,0
M0296,Parakou,Pompe,Faible,67.8,4.25,6.49,8,27022.0,0
M0297,Parakou,Moteur,Moyen,71.6,3.14,7.56,3,23450.0,0
M0298,Abomey-Calavi,Compresseur,Faible,79.7,3.16,6.95,16,31470.0,0
M0299,Parakou,Moteur,Moyen,64.5,,6.4,14,20816.0,0
M0300,Porto-Novo,Pompe,Faible,82.2,3.48,7.87,13,24678.0,0
M0301,Abomey-Calavi,Compresseur,Faible,73.8,5.62,7.1,1,28579.0,0
M0302,Parakou,Moteur,Moyen,75.1,2.3,8.16,8,29701.0,0
M0303,Porto-Novo,Pompe,Faible,,3.45,6.91,12,14255.0,0
M0304,Cotonou,Pompe,Moyen,69.9,3.7,7.09,4,35648.0,0
M0305,Cotonou,Compresseur,Faible,77.0,4.03,7.63,12,21820.0,0
M0306,Abomey-Calavi,,Moyen,72.3,2.77,6.62,6,20330.0,0
M0307,Parakou,Pompe,Moyen,48.7,0.59,6.99,12,25821.0,0
M0308,Parakou,Pompe,Moyen,70.6,4.33,5.91,16,13416.0,0
M0309,Porto-Novo,Compresseur,Faible,72.1,4.29,7.53,5,14865.0,0
M0310,Parakou,Pompe,Moyen,70.5,4.66,7.78,12,20602.0,0
M0311,Abomey-Calavi,Moteur,Moyen,81.3,4.21,7.62,3,14472.0,0
M0312,Cotonou,Moteur,Faible,67.7,2.18,7.07,15,33615.0,0
M0313,Porto-Novo,Moteur,Faible,75.5,5.23,6.33,12,23064.0,0
M0314,Parakou,Moteur,Moyen,74.2,3.15,7.86,9,23619.0,0
M0315,Cotonou,Pompe,Faible,75.0,4.11,6.66,7,25326.0,0
M0316,Cotonou,Compresseur,Élevé,58.1,6.17,6.93,12,29184.0,0
M0317,Cotonou,Pompe,Moyen,67.9,5.13,7.89,6,28681.0,0
M0318,Cotonou,Compresseur,Moyen,67.7,2.57,7.38,7,19920.0,0
M0319,Porto-Novo,Moteur,Faible,83.9,13.817216044833028,7.41,2,32308.0,0
M0320,Cotonou,Pompe,Moyen,68.7,5.43,8.25,8,31489.0,0
M0321,Parakou,Pompe,Moyen,76.2,,6.86,7,38255.0,0
M0322,Parakou,Pompe,Moyen,73.2,3.49,7.53,16,25699.0,0
M0323,Parakou,Compresseur,Moyen,60.4,,6.35,2,24450.0,0
M0324,Cotonou,Pompe,Faible,62.4,2.5,6.87,14,21300.0,0
M0325,Abomey-Calavi,Moteur,Faible,73.2,3.17,6.89,14,16155.0,0
M0326,Parakou,Moteur,Faible,76.9,,7.04,2,23021.0,0
M0327,Cotonou,Compresseur,Élevé,,5.19,7.01,5,15432.0,0
M0328,Abomey-Calavi,,Faible,69.1,5.01,6.02,1,22849.0,0
M0329,Parakou,Moteur,Faible,61.1,,,3,33699.0,0
M0330,Abomey-Calavi,Pompe,Moyen,70.5,2.96,7.3,10,31569.0,0
M0331,Cotonou,Pompe,Faible,60.3,2.42,6.19,7,35207.0,0
M0332,Abomey-Calavi,Pompe,Moyen,81.6,2.67,7.54,13,15027.0,0
M0333,Cotonou,Compresseur,Moyen,68.4,4.21,7.72,7,30716.0,0
M0334,Cotonou,Compresseur,Faible,70.6,3.42,6.08,5,26717.0,0
M0335,Cotonou,Pompe,Faible,85.4,2.12,6.15,3,26411.0,0
M0336,Porto-Novo,Compresseur,Faible,74.2,5.42,,6,31001.0,0
M0337,Porto-Novo,Pompe,Élevé,60.9,2.61,7.47,5,26186.0,0
M0338,Cotonou,Pompe,Faible,74.4,2.12,6.54,11,25862.0,0
